ID,ID_HECHO,FECHA,N_VICTIMAS
298,2018-0023,2018-02-24,1
299,2018-0024,2018-02-28,1
300,2018-0025,2018-03-04,1
301,2018-0026,2018-03-09,2
302,2018-0027,2018-03-11,1
303,2018-0028,2018-03-13,1
304,2018-0029,2018-03-15,1
305,2018-0030,2018-03-20,1
306,2018-0031,2018-03-28,1
307,2018-0032,2018-04-02,1
308,2018-0033,2018-04-07,1
309,2018-0034,2018-04-11,1
310,2018-0035,2018-04-12,1
311,2018-0036,2018-04-13,1
312,2018-0037,2018-04-18,1
313,2018-0038,2018-04-20,2
314,2018-0039,2018-04-21,1
315,2018-0040,2018-04-27,1
316,2018-0041,2018-04-27,1
317,2018-0042,2018-04-27,1
318,2018-0043,2018-04-28,1
319,2018-0044,2018-04-28,1
320,2018-0045,2018-04-30,1
321,2018-0046,2018-05-02,1
322,2018-0047,2018-05-08,1
323,2018-0048,2018-05-09,1
324,2018-0049,2018-05-11,1
325,2018-0050,2018-05-14,1
326,2018-0051,2018-05-15,1
327,2018-0052,2018-05-18,1
328,2018-0053,2018-05-20,1
329,2018-0054,2018-05-22,1
330,2018-0055,2018-05-29,1
331,2018-0056,2018-06-02,1
332,2018-0057,2018-06-03,1
333,2018-0058,2018-06-03,1
334,2018-0059,2018-06-08,1
335,2018-0060,2018-06-08,1
336,2018-0061,2018-06-10,1
337,2018-0062,2018-06-14,1
338,2018-0063,2018-06-16,1
339,2018-0064,2018-06-25,1
340,2018-0065,2018-06-26,1
341,2018-0066,2018-06-28,1
342,2018-0067,2018-06-29,1
343,2018-0068,2018-07-01,1
344,2018-0069,2018-07-04,1
345,2018-0070,2018-07-07,1
346,2018-0071,2018-07-10,1
347,2018-0072,2018-07-11,1
348,2018-0073,2018-07-11,1
349,2018-0074,2018-07-14,1
350,2018-0075,2018-07-15,1
351,2018-0076,2018-07-16,1
352,2018-0077,2018-07-16,1
353,2018-0078,2018-07-21,1
354,2018-0079,2018-07-23,1
355,2018-0080,2018-07-25,1
