ID,ID_HECHO,FECHA,ROL
358,2018-0069,2018-07-04,CICLISTA
359,2018-0070,2018-07-07,CONDUCTOR
360,2018-0071,2018-07-10,CONDUCTOR
361,2018-0072,2018-07-11,CONDUCTOR
362,2018-0073,2018-07-11,PEATON
363,2018-0074,2018-07-14,CONDUCTOR
364,2018-0075,2018-07-15,PEATON
365,2018-0076,2018-07-16,CONDUCTOR
366,2018-0077,2018-07-16,CONDUCTOR
367,2018-0078,2018-07-21,PEATON
368,2018-0079,2018-07-23,PEATON
369,2018-0080,2018-07-25,PEATON
370,2018-0081,2018-07-29,PEATON
371,2018-0082,2018-08-01,CONDUCTOR
372,2018-0083,2018-08-02,CONDUCTOR
373,2018-0084,2018-08-03,PEATON
374,2018-0085,2018-08-03,PASAJERO_ACOMPANANTE
375,2018-0085,2018-08-03,CONDUCTOR
376,2018-0086,2018-08-10,PEATON
377,2018-0087,2018-08-15,PEATON
378,2018-0088,2018-08-17,CONDUCTOR
379,2018-0089,2018-08-17,PEATON
380,2018-0090,2018-08-18,CONDUCTOR
381,2018-0091,2018-08-19,PASAJERO_ACOMPANANTE
382,2018-0092,2018-08-20,CONDUCTOR
383,2018-0093,2018-08-20,PEATON
384,2018-0094,2018-08-23,CONDUCTOR
385,2018-0095,2018-08-26,PASAJERO_ACOMPANANTE
386,2018-0096,2018-08-31,PEATON
387,2018-0097,2018-09-02,CONDUCTOR
388,2018-0098,2018-09-09,CONDUCTOR
389,2018-0098,2018-09-09,PASAJERO_ACOMPANANTE
390,2018-0099,2018-09-12,PEATON
391,2018-0100,2018-09-20,
392,2018-0101,2018-09-21,CONDUCTOR
393,2018-0102,2018-09-21,CONDUCTOR
394,2018-0103,2018-09-27,PEATON
395,2018-0104,2018-10-01,CONDUCTOR
396,2018-0105,2018-10-03,PEATON
397,2018-0106,2018-10-04,CONDUCTOR
398,2018-0107,2018-10-06,PEATON
399,2018-0108,2018-10-09,CONDUCTOR
400,2018-0109,2018-10-10,PEATON
401,2018-0110,2018-10-13,PEATON
402,2018-0111,2018-10-19,CONDUCTOR
403,2018-0112,2018-10-24,CONDUCTOR
404,2018-0113,2018-10-25,CONDUCTOR
405,2018-0114,2018-10-30,CONDUCTOR
406,2018-0115,2018-10-31,PEATON
407,2018-0116,2018-11-01,PEATON
408,2018-0117,2018-11-04,CONDUCTOR
409,2018-0118,2018-11-05,PEATON
410,2018-0119,2018-11-05,PEATON
411,2018-0120,2018-11-09,PEATON
412,2018-0121,2018-11-09,PEATON
413,2018-0122,2018-11-12,CONDUCTOR
414,2018-0123,2018-11-12,CONDUCTOR
415,2018-0124,2018-11-15,CONDUCTOR
416,2018-0125,2018-11-16,PEATON
417,2018-0126,2018-11-18,CONDUCTOR
418,2018-0127,2018-11-19,CONDUCTOR
419,2018-0128,2018-11-25,PASAJERO_ACOMPANANTE
420,2018-0128,2018-11-25,PASAJERO_ACOMPANANTE
421,2018-0129,2018-11-28,CONDUCTOR
422,2018-0130,2018-12-03,CONDUCTOR
423,2018-0131,2018-12-07,CONDUCTOR
424,2018-0132,2018-12-12,PEATON
425,2018-0133,2018-12-12,PEATON
426,2018-0134,2018-12-12,PEATON
427,2018-0135,2018-12-18,PEATON
428,2018-0136,2018-12-18,PEATON
429,2018-0137,2018-12-18,PASAJERO_ACOMPANANTE
430,2018-0138,2018-12-21,PASAJERO_ACOMPANANTE
431,2018-0139,2018-12-22,PASAJERO_ACOMPANANTE
432,2018-0140,2018-12-22,CONDUCTOR
433,2018-0141,2018-12-22,PEATON
434,2018-0142,2018-12-25,PASAJERO_ACOMPANANTE
435,2018-0143,2018-12-29,CONDUCTOR
436,2019-0001,2019-01-08,CONDUCTOR
437,2019-0002,2019-01-09,CONDUCTOR
438,2019-0003,2019-01-12,CONDUCTOR
439,2019-0004,2019-01-14,CONDUCTOR
440,2019-0005,2019-01-19,CONDUCTOR
441,2019-0006,2019-01-23,PEATON
442,2019-0007,2019-01-26,CONDUCTOR
443,2019-0008,2019-01-30,CONDUCTOR
444,2019-0009,2019-01-31,CONDUCTOR
445,2019-0010,2019-02-02,PEATON
446,2019-0010,2019-02-02,PEATON
447,2019-0011,2019-02-10,PEATON
