ID,ID_HECHO,FECHA,CRUCE,SEMAFORO
251,2017-0134,2017-11-06,,False
252,2017-0135,2017-11-07,PUNTA ARENAS,False
253,2017-0136,2017-11-16,"RABANAL, FRANCISCO, INTENDENTE AV.",False
254,2017-0137,2017-11-17,SAN NICOLAS,False
255,2017-0138,2017-11-19,"PERON, EVA AV.",False
256,2017-0139,2017-11-19,ESCALADA AV.,False
257,2017-0140,2017-11-19,,False
258,2017-0141,2017-11-23,"GOYENA, PEDRO AV.",False
259,2017-0143,2017-11-25,"DIAZ, CESAR, GRAL.",True
260,2017-0144,2017-11-26,"PAZ, GRAL. AV.",False
261,2017-0145,2017-11-26,DON BOSCO,False
262,2017-0147,2017-11-28,"PERON, EVA AV.",False
263,2017-0148,2017-11-29,LA RIOJA,False
264,2017-0149,2017-11-30,MEXICO,False
265,2017-0150,2017-12-04,MIRALLA,False
266,2017-0151,2017-12-04,LUJAN,False
267,2017-0152,2017-12-06,TRAFUL,False
268,2017-0153,2017-12-11,LA PLATA AV.,False
269,2017-0154,2017-12-11,CASEROS AV.,False
270,2017-0155,2017-12-12,,False
271,2017-0157,2017-12-17,HUMAITA,False
272,2017-0158,2017-12-18,"PAZ, GRAL. AV.",False
273,2017-0159,2017-12-20,"CEVALLOS, VIRREY",False
274,2017-0160,2017-12-22,,False
275,2017-0161,2017-12-26,,False
276,2018-0001,2018-01-01,RINCON,False
277,2018-0002,2018-01-03,,False
278,2018-0003,2018-01-05,GALICIA,False
279,2018-0004,2018-01-09,MANZANARES,False
280,2018-0005,2018-01-09,,False
281,2018-0006,2018-01-10,BARCO CENTENERA DEL,False
282,2018-0007,2018-01-11,,False
283,2018-0008,2018-01-12,INDEPENDENCIA AV.,False
284,2018-0009,2018-01-14,"BROWN, ALTE. AV.",False
285,2018-0010,2018-01-18,"BELAUSTEGUI, LUIS, DR.",False
286,2018-0011,2018-01-19,"LOPEZ, VICENTE",False
287,2018-0012,2018-01-26,"CHILAVERT, MARTINIANO, CORONEL",False
288,2018-0013,2018-01-28,GALVAN,False
289,2018-0014,2018-01-31,RIVERA INDARTE AV.,False
290,2018-0015,2018-02-06,,False
291,2018-0016,2018-02-15,"RAMOS MEJIA, JOSE MARIA, DR. AV.",False
292,2018-0017,2018-02-17,RIVADAVIA AV.,False
293,2018-0018,2018-02-17,"SALVADORES, CNEL.",False
294,2018-0019,2018-02-17,CALLAO AV.,False
295,2018-0020,2018-02-19,,False
296,2018-0021,2018-02-22,ZAVALETA,False
297,2018-0022,2018-02-24,OLAVARRIA,False
298,2018-0023,2018-02-24,ROSARIO,False
299,2018-0024,2018-02-28,DONADO,False
300,2018-0025,2018-03-04,BOYACA AV.,False
301,2018-0026,2018-03-09,SAENZ AV.,False
302,2018-0027,2018-03-11,RONDEAU,False
303,2018-0028,2018-03-13,AZUL,False
304,2018-0029,2018-03-15,GAONA AV.,False
305,2018-0030,2018-03-20,ALVAREZ THOMAS AV.,False
306,2018-0031,2018-03-28,"ARTIGAS, JOSE GERVASIO, GRAL.",False
307,2018-0032,2018-04-02,AGUILAR,False
308,2018-0033,2018-04-07,LOPE DE VEGA AV.,False
309,2018-0034,2018-04-11,,False
310,2018-0035,2018-04-12,,False
311,2018-0036,2018-04-13,ARGERICH,False
312,2018-0037,2018-04-18,"URIBURU JOSE E., PRES.",False
313,2018-0038,2018-04-20,,False
314,2018-0039,2018-04-21,,False
315,2018-0040,2018-04-27,"OLAGUER Y FELIU, VIRREY",False
316,2018-0041,2018-04-27,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",True
317,2018-0042,2018-04-27,PERDRIEL,False
