ID_HECHO,FECHA,ACUSADO,VICTIMA
2018-0015,2018-02-06,PASAJEROS,MOTO
2018-0015,2018-02-06,PASAJEROS,MOTO
2018-0016,2018-02-15,CARGAS,MOTO
2018-0017,2018-02-17,AUTO,PEATON
2018-0018,2018-02-17,CARGAS,MOTO
2018-0019,2018-02-17,PASAJEROS,PEATON
2018-0020,2018-02-19,CARGAS,MOTO
2018-0021,2018-02-22,PASAJEROS,PEATON
2018-0022,2018-02-24,CARGAS,MOTO
2018-0023,2018-02-24,AUTO,MOTO
2018-0024,2018-02-28,CARGAS,PEATON
2018-0025,2018-03-04,AUTO,PEATON
2018-0026,2018-03-09,CARGAS,MOVIL
2018-0026,2018-03-09,CARGAS,MOVIL
2018-0027,2018-03-11,MOTO,PEATON
2018-0028,2018-03-13,CARGAS,PEATON
2018-0029,2018-03-15,AUTO,MOTO
2018-0030,2018-03-20,MOTO,MOTO
2018-0031,2018-03-28,CARGAS,MOTO
2018-0032,2018-04-02,PASAJEROS,PEATON
2018-0033,2018-04-07,CARGAS,MOTO
2018-0034,2018-04-11,PASAJEROS,PEATON
2018-0035,2018-04-12,PASAJEROS,PEATON
2018-0036,2018-04-13,AUTO,MOTO
2018-0037,2018-04-18,CARGAS,PEATON
2018-0038,2018-04-20,AUTO,PEATON
2018-0038,2018-04-20,AUTO,PEATON
2018-0039,2018-04-21,AUTO,PEATON
2018-0040,2018-04-27,CARGAS,PEATON
2018-0041,2018-04-27,PASAJEROS,PEATON
2018-0042,2018-04-27,CARGAS,MOTO
2018-0043,2018-04-28,AUTO,MOTO
2018-0044,2018-04-28,AUTO,PEATON
2018-0045,2018-04-30,CARGAS,AUTO
2018-0046,2018-05-02,AUTO,PEATON
2018-0047,2018-05-08,PASAJEROS,PEATON
2018-0048,2018-05-09,PASAJEROS,PEATON
2018-0049,2018-05-11,AUTO,PEATON
2018-0050,2018-05-14,PASAJEROS,PEATON
2018-0051,2018-05-15,AUTO,PEATON
2018-0052,2018-05-18,PASAJEROS,PEATON
2018-0053,2018-05-20,AUTO,MOTO
2018-0054,2018-05-22,BICICLETA,PEATON
2018-0055,2018-05-29,AUTO,MOTO
2018-0056,2018-06-02,PASAJEROS,PEATON
2018-0057,2018-06-03,PASAJEROS,MOTO
2018-0058,2018-06-03,AUTO,MOTO
2018-0059,2018-06-08,OTRO,MOTO
2018-0060,2018-06-08,PASAJEROS,PEATON
2018-0061,2018-06-10,MOTO,MOTO
2018-0062,2018-06-14,CARGAS,PEATON
2018-0063,2018-06-16,PASAJEROS,PEATON
2018-0064,2018-06-25,CARGAS,AUTO
2018-0065,2018-06-26,CARGAS,MOTO
2018-0066,2018-06-28,PASAJEROS,PEATON
2018-0067,2018-06-29,AUTO,PASAJEROS
2018-0068,2018-07-01,AUTO,MOTO
2018-0069,2018-07-04,PASAJEROS,BICICLETA
2018-0070,2018-07-07,PASAJEROS,MOTO
2018-0071,2018-07-10,CARGAS,MOTO
2018-0072,2018-07-11,CARGAS,MOTO
2018-0073,2018-07-11,CARGAS,PEATON
2018-0074,2018-07-14,CARGAS,AUTO
2018-0075,2018-07-15,AUTO,PEATON
2018-0076,2018-07-16,CARGAS,AUTO
2018-0077,2018-07-16,CARGAS,AUTO
2018-0078,2018-07-21,AUTO,PEATON
2018-0079,2018-07-23,CARGAS,PEATON
2018-0080,2018-07-25,AUTO,PEATON
2018-0081,2018-07-29,MULTIPLE,PEATON
2018-0082,2018-08-01,CARGAS,MOTO
2018-0083,2018-08-02,CARGAS,MOTO
