ID,ID_HECHO,FECHA,ACUSADO
459,2019-0041,2019-05-11,MULTIPLE
460,2019-0042,2019-05-14,PASAJEROS
461,2019-0043,2019-05-21,CARGAS
462,2019-0044,2019-05-27,MOTO
463,2019-0045,2019-06-03,CARGAS
464,2019-0046,2019-06-04,AUTO
465,2019-0047,2019-06-06,CARGAS
466,2019-0048,2019-06-07,CARGAS
467,2019-0049,2019-06-08,CARGAS
468,2019-0050,2019-06-08,CARGAS
469,2019-0051,2019-06-11,AUTO
470,2019-0053,2019-06-14,AUTO
471,2019-0054,2019-06-20,OBJETO FIJO
472,2019-0055,2019-06-20,PASAJEROS
473,2019-0056,2019-06-29,AUTO
474,2019-0057,2019-07-05,AUTO
475,2019-0058,2019-07-10,PASAJEROS
476,2019-0059,2019-07-13,PASAJEROS
477,2019-0060,2019-07-17,AUTO
478,2019-0061,2019-07-17,PASAJEROS
479,2019-0062,2019-08-01,PASAJEROS
480,2019-0063,2019-08-04,PASAJEROS
481,2019-0064,2019-08-06,AUTO
482,2019-0065,2019-08-08,PASAJEROS
483,2019-0066,2019-08-11,AUTO
484,2019-0067,2019-08-14,CARGAS
485,2019-0068,2019-08-14,MOTO
486,2019-0069,2019-08-17,AUTO
487,2019-0070,2019-08-22,BICICLETA
488,2019-0071,2019-08-27,CARGAS
489,2019-0072,2019-08-28,AUTO
490,2019-0073,2019-08-29,OBJETO FIJO
491,2019-0074,2019-08-29,CARGAS
492,2019-0075,2019-08-30,PASAJEROS
493,2019-0076,2019-09-05,CARGAS
494,2019-0077,2019-09-08,AUTO
495,2019-0078,2019-09-12,CARGAS
496,2019-0079,2019-09-17,PASAJEROS
497,2019-0080,2019-09-17,MOTO
498,2019-0081,2019-09-23,PASAJEROS
499,2019-0082,2019-09-25,CARGAS
500,2019-0083,2019-09-26,AUTO
501,2019-0084,2019-09-27,CARGAS
502,2019-0085,2019-10-09,TREN
503,2019-0086,2019-10-15,PASAJEROS
504,2019-0087,2019-10-21,MOTO
505,2019-0088,2019-10-22,PASAJEROS
506,2019-0089,2019-10-23,CARGAS
507,2019-0090,2019-10-24,MOTO
508,2019-0091,2019-11-01,PASAJEROS
509,2019-0092,2019-11-03,PASAJEROS
510,2019-0093,2019-11-13,OTRO
511,2019-0094,2019-11-18,OTRO
512,2019-0095,2019-11-20,CARGAS
513,2019-0096,2019-11-22,PASAJEROS
514,2019-0097,2019-11-25,MULTIPLE
515,2019-0098,2019-11-25,PASAJEROS
516,2019-0100,2019-12-05,AUTO
517,2019-0101,2019-12-17,MOTO
518,2019-0102,2019-12-17,AUTO
519,2019-0103,2019-12-18,MOTO
520,2019-0104,2019-12-21,AUTO
521,2019-0105,2019-05-05,AUTO
522,2020-0001,2020-01-04,AUTO
523,2020-0002,2020-01-05,OBJETO FIJO
524,2020-0003,2020-01-11,AUTO
525,2020-0004,2020-01-14,PASAJEROS
526,2020-0005,2020-01-14,PASAJEROS
527,2020-0006,2020-01-20,CARGAS
528,2020-0007,2020-01-27,MOTO
529,2020-0008,2020-01-30,CARGAS
530,2020-0009,2020-02-04,AUTO
531,2020-0010,2020-02-08,OBJETO FIJO
532,2020-0011,2020-02-12,CARGAS
533,2020-0012,2020-02-18,MOTO
534,2020-0013,2020-02-20,MOTO
535,2020-0014,2020-02-27,PASAJEROS
536,2020-0015,2020-02-28,PASAJEROS
537,2020-0016,2020-02-29,PASAJEROS
538,2020-0017,2020-03-05,AUTO
539,2020-0018,2020-03-09,OBJETO FIJO
540,2020-0019,2020-03-10,AUTO
541,2020-0020,2020-03-13,MOTO
542,2020-0021,2020-03-14,AUTO
543,2020-0022,2020-04-07,CARGAS
544,2020-0023,2020-04-09,CARGAS
545,2020-0024,2020-04-24,AUTO
546,2020-0025,2020-05-12,AUTO
547,2020-0026,2020-05-17,OBJETO FIJO
